Symbol,ATH,ATHDate,AsOf
360ONE,1295.8117143828404,2025-01-06,2026-09-18
3MINDIA,39386.179925890785,2024-07-30,2026-09-18
AADHARHFC,563.0,2026-07-06,2026-09-18
AARTIDRUGS,1008.7053078088402,2020-10-08,2026-09-18
AARTIIND,1150.653134922885,2021-10-19,2026-09-18
AARTIPHARM,963.9941964417309,2025-07-16,2026-09-18
AAVAS,3340.0,2022-02-02,2026-09-18
ABB,8922.809971193969,2024-06-18,2026-09-18
ABBOTINDIA,35657.36921776617,2025-06-27,2026-09-18
ABCAPITAL,430.70001220703125,2026-08-03,2026-09-18
ABDL,711.7000122070312,2026-07-06,2026-09-18
ABFRL,364.3999938964844,2024-09-27,2026-09-18
ABLBL,167.11261525965764,2025-07-08,2026-09-18
ABREL,3131.7266224375103,2024-10-21,2026-09-18
ABSLAMC,1194.9557175378152,2026-06-22,2026-09-18
ACC,2816.2706433458834,2024-07-02,2026-09-18
ACE,1685.6199956306268,2024-04-02,2026-09-18
ACI,828.5593366549896,2024-02-27,2026-09-18
ACMESOLAR,430.5,2026-09-04,2026-09-18
ACUTAAS,3737.2044731885353,2026-07-06,2026-09-18
ADANIENSOL,4236.75,2022-09-16,2026-09-18
ADANIENT,4182.390177387145,2022-12-21,2026-09-18
ADANIGREEN,3050.0,2022-04-19,2026-09-18
ADANIPORTS,1891.0999755859375,2026-07-03,2026-09-18
ADANIPOWER,254.1999969482422,2026-05-29,2026-09-18
ADVENZYMES,558.7522467795882,2024-09-16,2026-09-18
AEGISLOG,1497.800048828125,2026-08-06,2026-09-18
AEGISVOPAK,316.0,2026-09-17,2026-09-18
AEQUS,274.3900146484375,2026-07-09,2026-09-18
AETHER,1717.0,2026-08-28,2026-09-18
AFCONS,562.6688918330074,2025-01-03,2026-09-18
AFFLE,2185.89990234375,2025-09-22,2026-09-18
AGARWALEYE,568.0,2025-10-16,2026-09-18
AHLUCONT,1540.8452513240618,2024-07-05,2026-09-18
AIAENG,5160.600958593338,2026-06-30,2026-09-18
AIIL,683.0,2026-01-13,2026-09-18
AJANTPHARM,3796.0,2026-08-18,2026-09-18
